number,session,condition,heading,rt,trgchoice,correct,left_is_correct,absheading
1,1,3,1,1.065,2,1,0,1
2,1,3,-2,1,1,1,1,2
3,1,3,-8,0.775,1,1,1,8
4,1,2,-8,0.98,1,1,1,8
5,1,2,-2,1.21,1,1,1,2
6,1,1,8,0.845,2,1,0,8
7,1,3,8,0.895,2,1,0,8
8,1,1,0,0.925,2,0,1,0
9,1,1,-8,0.76,1,1,1,8
10,1,1,-4,0.775,1,1,1,4
11,1,1,-1,0.81,1,1,1,1
12,1,1,1,0.9,2,1,0,1
13,1,1,2,0.735,2,1,0,2
14,1,2,1,1.08,1,0,0,1
15,1,2,0,1.52,1,1,1,0
16,1,2,8,1.19,2,1,0,8
17,1,2,4,1.215,2,1,0,4
18,1,3,2,1.27,2,1,0,2
19,1,2,2,1.41,2,1,0,2
20,1,3,0,1.355,1,0,0,0
21,1,3,4,0.84,2,1,0,4
22,1,3,-1,0.945,2,0,1,1
23,1,1,-2,0.785,1,1,1,2
24,1,2,-1,1.205,1,1,1,1
25,1,1,4,0.895,2,1,0,4
26,1,3,-4,0.805,1,1,1,4
27,1,2,-4,1.175,1,1,1,4
28,1,1,-8,0.765,1,1,1,8
29,1,3,8,0.865,2,1,0,8
30,1,3,2,1.24,2,1,0,2
31,1,3,0,0.77,2,1,0,0
32,1,2,8,1.215,2,1,0,8
33,1,3,-2,0.885,1,1,1,2
34,1,3,4,0.945,2,1,0,4
35,1,2,1,1.52,1,0,0,1
36,1,1,1,0.74,1,0,0,1
37,1,3,-8,0.88,1,1,1,8
38,1,2,-8,1.07,1,1,1,8
39,1,1,0,0.83,2,0,1,0
40,1,2,4,1.215,2,1,0,4
41,1,2,2,1.325,2,1,0,2
42,1,3,1,0.99,2,1,0,1
43,1,1,-1,0.85,2,0,1,1
44,1,2,-1,1.52,1,1,1,1
45,1,1,4,0.835,2,1,0,4
46,1,1,8,0.895,2,1,0,8
47,1,3,-4,0.785,1,1,1,4
48,1,2,-4,1.225,1,1,1,4
49,1,1,-4,0.8,1,1,1,4
50,1,2,-2,1.435,2,0,1,2
51,1,1,2,0.98,2,1,0,2
52,1,1,-2,0.77,1,1,1,2
53,1,3,-1,0.96,1,1,1,1
54,1,2,0,1.335,1,1,1,0
55,1,1,-8,0.83,1,1,1,8
56,1,2,2,1.455,1,0,0,2
57,1,3,0,1.015,1,0,0,0
58,1,2,-4,1.19,1,1,1,4
59,1,1,-1,0.81,1,1,1,1
60,1,2,1,1.18,1,0,0,1
61,1,2,0,1.33,1,1,1,0
62,1,2,4,1.315,2,1,0,4
63,1,3,2,0.885,2,1,0,2
64,1,1,2,0.85,2,1,0,2
65,1,2,8,1.17,2,1,0,8
66,1,1,8,0.83,2,1,0,8
67,1,3,8,0.855,2,1,0,8
68,1,1,-2,0.78,1,1,1,2
69,1,3,-4,0.73,1,1,1,4
70,1,3,-2,0.87,1,1,1,2
71,1,1,4,0.785,2,1,0,4
72,1,3,1,0.98,2,1,0,1
73,1,2,-8,1.165,1,1,1,8
74,1,2,-2,1.355,1,1,1,2
75,1,3,-1,0.895,1,1,1,1
76,1,1,-4,0.73,1,1,1,4
77,1,1,1,0.965,2,1,0,1
78,1,1,0,0.805,2,1,0,0
79,1,3,4,0.88,2,1,0,4
80,1,3,-8,0.785,1,1,1,8
81,1,2,-1,1.455,1,1,1,1
82,1,1,-8,0.78,1,1,1,8
83,1,2,4,1.26,2,1,0,4
84,1,3,1,0.965,2,1,0,1
85,1,1,1,0.795,2,1,0,1
86,1,3,8,0.925,2,1,0,8
87,1,3,-8,0.76,1,1,1,8
88,1,3,-4,0.905,1,1,1,4
89,1,1,4,0.825,2,1,0,4
90,1,2,-4,0.855,1,1,1,4
91,1,1,-2,0.825,1,1,1,2
92,1,3,4,1,2,1,0,4
93,1,2,0,1.425,1,1,1,0
94,1,3,-2,1.22,1,1,1,2
95,1,1,-4,0.74,1,1,1,4
96,1,2,2,1.52,1,0,0,2
97,1,1,-1,0.895,2,0,1,1
98,1,2,1,1.395,2,1,0,1
99,1,3,2,0.9,2,1,0,2
100,1,3,0,0.945,2,1,0,0
101,1,1,2,0.925,2,1,0,2
102,1,2,-2,1.205,1,1,1,2
103,1,2,-8,1.09,1,1,1,8
104,1,2,8,1.3,2,1,0,8
105,1,1,0,0.985,2,1,0,0
106,1,2,-1,1.345,1,1,1,1
107,1,1,8,0.85,2,1,0,8
108,1,3,-1,0.925,1,1,1,1
109,1,1,-8,0.73,1,1,1,8
110,1,3,8,0.845,2,1,0,8
111,1,3,-4,0.83,1,1,1,4
112,1,1,-4,0.83,1,1,1,4
113,1,2,8,1.17,2,1,0,8
114,1,3,4,1.025,2,1,0,4
115,1,1,1,0.965,2,1,0,1
116,1,1,-1,0.83,1,1,1,1
117,1,2,1,1.16,2,1,0,1
118,1,1,8,0.79,2,1,0,8
119,1,1,4,0.91,2,1,0,4
120,1,3,-1,0.85,1,1,1,1
121,1,1,0,0.78,1,0,0,0
122,1,2,2,1.345,2,1,0,2
123,1,3,1,0.965,2,1,0,1
124,1,3,-8,0.765,1,1,1,8
125,1,3,2,0.85,1,0,0,2
126,1,1,2,0.865,2,1,0,2
127,1,2,-2,1.13,1,1,1,2
128,1,3,0,1.35,2,0,1,0
129,1,2,-1,1.13,1,1,1,1
130,1,2,-8,1.025,1,1,1,8
131,1,2,-4,1.335,1,1,1,4
132,1,2,0,1.52,1,0,0,0
133,1,2,4,1.195,2,1,0,4
134,1,1,-2,0.79,1,1,1,2
135,1,3,-2,0.765,1,1,1,2
136,1,1,-8,0.79,1,1,1,8
137,1,2,-4,1.155,1,1,1,4
138,1,3,8,0.91,2,1,0,8
